,Model,Model no,Test Images,False Positives,False Negatives
0,mobilenet-full-1.h5,1,1500,110,25
1,mobilenet-full-5.h5,5,1500,29,16
2,mobilenet-full-8.h5,8,1500,7,82
3,mobilenet-full-11.h5,11,1500,67,8
4,mobilenet-full-14.h5,14,1500,17,36
5,mobilenet-full-18.h5,18,1500,19,21
6,mobilenet-full-21.h5,21,1500,8,98
7,mobilenet-full-24.h5,24,1500,97,6
8,mobilenet-full-27.h5,27,1500,41,8
9,mobilenet-full-30.h5,30,1500,36,13
10,mobilenet-full-33.h5,33,1500,69,5
11,mobilenet-full-36.h5,36,1500,17,27
12,mobilenet-full-39.h5,39,1500,47,9
13,mobilenet-full-42.h5,42,1500,31,11
14,mobilenet-full-45.h5,45,1500,20,19
15,mobilenet-full-48.h5,48,1500,7,57
16,mobilenet-full-51.h5,51,1500,21,21
17,mobilenet-full-55.h5,55,1500,15,18
18,mobilenet-full-58.h5,58,1500,14,29
19,mobilenet-full-61.h5,61,1500,21,10
20,mobilenet-full-64.h5,64,1500,32,16
21,mobilenet-full-68.h5,68,1500,19,13
22,mobilenet-full-71.h5,71,1500,24,17
23,mobilenet-full-74.h5,74,1500,20,13
24,mobilenet-full-77.h5,77,1500,98,11
25,mobilenet-full-81.h5,81,1500,32,13
26,mobilenet-full-84.h5,84,1500,88,5
27,mobilenet-full-87.h5,87,1500,19,16
